City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,70.09,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2,Isangel,VU,76.08,scattered clouds,-19.55,169.2667,Tanna Lodge
3,Filadelfia,US,56.55,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
4,Castro,BR,77.38,heavy intensity rain,-24.7911,-50.0119,CHACARA BAILLY
5,Florianopolis,BR,81.41,light rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
6,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Hotel San Juan
8,Te Anau,NZ,50.34,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
10,Port Alfred,ZA,72.75,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
14,Samarai,PG,81.12,clear sky,-10.6167,150.6667,Nuli Sapi
19,Adrar,MR,91.02,scattered clouds,20.5022,-10.0711,
22,Fortuna,US,50.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
23,Soto La Marina,MX,71.78,few clouds,23.7667,-98.2167,Hotel Chicago
25,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le four à pain
26,Mar Del Plata,AR,64.42,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
28,Yorosso,ML,92.43,clear sky,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
29,Nikolskoye,RU,55.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
30,Komsomolskiy,UZ,54.32,broken clouds,40.4272,71.7189,Ikathouse
31,Sawakin,SD,85.46,overcast clouds,19.1059,37.3321,فندق الدويم
32,Hermanus,ZA,67.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
33,Sakakah,SA,83.77,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
35,Jamestown,US,54.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,Santa Luzia,BR,86.14,clear sky,-19.7697,-43.8514,Pousada Chao Earth
37,Albany,US,52.23,clear sky,42.6001,-73.9662,
40,Pisco,PE,66.02,haze,-13.7,-76.2167,Hotel San Isidro Oficial
41,Kaitangata,NZ,50.7,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
44,Madimba,TZ,79.92,few clouds,-10.4,40.3333,
46,Pangoa,PE,83.34,light rain,-12.1167,-73.0,
47,Laguna,US,61.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
48,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
49,Montepuez,MZ,85.66,clear sky,-13.1256,38.9997,PembaAparthotel
50,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
51,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
53,Bredasdorp,ZA,66.58,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
54,Atuona,PF,76.91,clear sky,-9.8,-139.0333,Villa Enata
55,Basco,PH,79.88,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
56,Guayaramerin,BO,84.25,scattered clouds,-10.8368,-65.3614,Hostal FÜNF
58,Ixtapa,MX,79.23,clear sky,20.7,-105.2,hotel la terminal
60,Jaciara,BR,86.92,overcast clouds,-15.9653,-54.9683,Taba Hotel
