City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-10-24 17:14:59,-54.8,-68.3,47.82,53,75,3.44
1,Georgetown,MY,2022-10-24 17:15:02,5.4112,100.3354,82.89,85,40,4.61
2,Sao Filipe,CV,2022-10-24 17:19:53,14.8961,-24.4956,78.53,74,17,7.0
3,Port Hawkesbury,CA,2022-10-24 17:19:53,45.6169,-61.3485,62.87,67,100,1.07
4,Crib Point,AU,2022-10-24 17:19:54,-38.35,145.2,62.65,93,100,11.88
5,Bambous Virieux,MU,2022-10-24 17:19:54,-20.3428,57.7575,73.22,72,5,8.5
6,Keetmanshoop,NA,2022-10-24 17:19:55,-26.5833,18.1333,87.49,8,59,17.72
7,Albany,US,2022-10-24 17:15:32,42.6001,-73.9662,60.17,91,100,2.42
8,Nikolskoye,RU,2022-10-24 17:19:55,59.7035,30.7861,33.69,83,84,3.0
9,Bluff,NZ,2022-10-24 17:19:56,-46.6,168.3333,39.87,76,3,6.69
10,Cape Town,ZA,2022-10-24 17:19:29,-33.9258,18.4232,67.1,74,48,11.99
11,Ribeira Grande,PT,2022-10-24 17:19:56,38.5167,-28.7,64.8,63,75,10.36
12,Ayan,RU,2022-10-24 17:19:57,56.45,138.1667,31.23,57,30,5.03
13,Hermanus,ZA,2022-10-24 17:19:58,-34.4187,19.2345,67.8,86,19,9.51
14,Punta Arenas,CL,2022-10-24 17:17:31,-53.15,-70.9167,51.91,50,75,24.16
15,Yellowknife,CA,2022-10-24 17:15:06,62.456,-114.3525,26.56,86,86,8.01
16,East London,ZA,2022-10-24 17:19:58,-33.0153,27.9116,70.66,81,20,17.52
17,Sola,VU,2022-10-24 17:19:59,-13.8833,167.55,80.29,77,74,10.87
18,Jamestown,US,2022-10-24 17:19:06,42.097,-79.2353,72.01,54,0,4.61
19,Mataura,NZ,2022-10-24 17:19:59,-46.1927,168.8643,30.63,96,0,2.44
20,Huilong,CN,2022-10-24 17:20:00,31.8111,121.655,61.93,59,95,8.61
21,Barrow,US,2022-10-24 17:20:00,71.2906,-156.7887,21.22,93,100,27.63
22,Iquitos,PE,2022-10-24 17:20:01,-3.7481,-73.2472,86.04,74,75,3.44
23,Taltal,CL,2022-10-24 17:20:01,-25.4,-70.4833,63.3,69,13,7.63
24,Kavaratti,IN,2022-10-24 17:20:01,10.5669,72.642,82.65,71,4,5.19
25,Popondetta,PG,2022-10-24 17:20:02,-8.7537,148.2534,73.29,90,25,2.95
26,Dalbandin,PK,2022-10-24 17:20:03,28.8947,64.4101,74.01,19,0,3.44
27,Tasiilaq,GL,2022-10-24 17:20:03,65.6145,-37.6368,35.76,98,100,16.75
28,Dikson,RU,2022-10-24 17:20:03,73.5069,80.5464,27.52,82,100,18.59
29,Kapaa,US,2022-10-24 17:20:04,22.0752,-159.319,79.12,86,100,12.66
30,Titusville,US,2022-10-24 17:15:47,28.6122,-80.8075,84.29,61,40,11.5
31,Hithadhoo,MV,2022-10-24 17:20:04,-0.6,73.0833,83.07,71,83,6.33
32,Port Augusta,AU,2022-10-24 17:19:44,-32.5,137.7667,58.78,82,90,6.15
33,Mount Isa,AU,2022-10-24 17:20:05,-20.7333,139.5,81.73,43,0,1.54
34,Rapar,IN,2022-10-24 17:20:06,23.5667,70.6333,83.3,26,0,5.99
35,Atuona,PF,2022-10-24 17:20:06,-9.8,-139.0333,76.51,63,0,16.53
36,Saskylakh,RU,2022-10-24 17:20:06,71.9167,114.0833,10.4,95,100,10.02
37,Rikitea,PF,2022-10-24 17:20:00,-23.1203,-134.9692,72.88,80,7,12.66
38,Baruun-Urt,MN,2022-10-24 17:20:09,46.6806,113.2792,41.34,34,0,8.37
39,Tuatapere,NZ,2022-10-24 17:20:10,-46.1333,167.6833,33.66,91,2,4.32
40,Pyaozerskiy,RU,2022-10-24 17:20:10,65.8333,31.1667,32.02,83,83,3.29
41,Camapua,BR,2022-10-24 17:20:11,-19.5314,-54.0439,92.57,36,0,0.92
42,Kailua,US,2022-10-24 17:20:11,21.4022,-157.7394,77.49,84,25,4.0
43,Baraboo,US,2022-10-24 17:20:12,43.4711,-89.7443,70.99,74,100,5.99
44,Bredasdorp,ZA,2022-10-24 17:20:12,-34.5322,20.0403,63.79,82,13,7.23
45,Butaritari,KI,2022-10-24 17:21:13,3.0707,172.7902,81.41,76,28,13.42
46,Port Alfred,ZA,2022-10-24 17:21:13,-33.5906,26.891,67.17,89,1,4.0
47,Mogadishu,SO,2022-10-24 17:20:33,2.0371,45.3438,78.8,83,7,15.39
48,Cabo San Lucas,MX,2022-10-24 17:16:41,22.8909,-109.9124,84.61,55,70,6.71
49,Sinnamary,GF,2022-10-24 17:21:14,5.3833,-52.95,86.18,68,100,11.41
50,Chuy,UY,2022-10-24 17:21:14,-33.6971,-53.4616,65.3,67,76,10.25
51,Cidreira,BR,2022-10-24 17:21:14,-30.1811,-50.2056,67.91,70,40,9.69
52,Chokurdakh,RU,2022-10-24 17:21:15,70.6333,147.9167,-7.4,91,27,4.79
53,Vaitape,PF,2022-10-24 17:21:15,-16.5167,-151.75,79.23,74,100,15.55
54,San Cristobal,VE,2022-10-24 17:21:15,7.7669,-72.225,75.54,75,92,6.24
55,Sharan,RU,2022-10-24 17:21:18,54.8167,54.0,37.31,96,100,19.04
56,Lagoa,PT,2022-10-24 17:21:18,39.05,-27.9833,62.56,61,98,13.76
57,Ukiah,US,2022-10-24 17:20:07,39.1502,-123.2078,62.65,45,69,2.33
58,Buy,RU,2022-10-24 17:21:19,58.4786,41.53,37.35,73,93,10.92
59,Souillac,MU,2022-10-24 17:21:20,-20.5167,57.5167,72.12,76,34,7.54
60,Meadow Lake,US,2022-10-24 17:21:20,34.8014,-106.5436,45.48,65,95,24.72
61,Clyde River,CA,2022-10-24 17:21:21,70.4692,-68.5914,12.6,80,98,6.87
62,Busselton,AU,2022-10-24 17:20:21,-33.65,115.3333,57.27,87,98,12.77
63,Hami,CN,2022-10-24 17:21:21,42.8,93.45,52.18,41,89,5.44
64,Mahebourg,MU,2022-10-24 17:21:22,-20.4081,57.7,73.26,73,11,8.48
65,Berea,US,2022-10-24 17:21:22,41.3662,-81.8543,75.18,40,0,9.22
66,Celendin,PE,2022-10-24 17:21:22,-6.8703,-78.1517,66.72,83,100,2.57
67,Laguna,US,2022-10-24 17:21:23,38.421,-121.4238,67.64,40,0,3.44
68,Banska Bystrica,SK,2022-10-24 17:21:23,48.5,19.5,54.64,92,100,0.56
69,Longkou,CN,2022-10-24 17:21:23,37.6508,120.3286,55.22,63,0,10.09
70,Khatanga,RU,2022-10-24 17:21:24,71.9667,102.5,-6.68,100,29,2.42
71,Sindor,RU,2022-10-24 17:21:24,62.8629,51.8905,30.76,95,100,6.76
72,Fukue,JP,2022-10-24 17:21:25,32.6881,128.8419,62.29,49,6,22.03
73,Coihaique,CL,2022-10-24 17:21:25,-45.5752,-72.0662,56.01,56,48,11.1
74,Ushibuka,JP,2022-10-24 17:21:25,32.1906,130.0228,61.79,51,2,18.59
75,Victoria,HK,2022-10-24 17:19:02,22.2855,114.1577,75.38,71,6,11.99
76,Upernavik,GL,2022-10-24 17:21:26,72.7868,-56.1549,27.82,88,100,5.93
77,Sylling,NO,2022-10-24 17:21:26,59.8952,10.2792,45.12,96,100,5.17
78,Vostok,RU,2022-10-24 17:21:27,46.4856,135.8833,25.68,76,0,4.65
79,Provideniya,RU,2022-10-24 17:21:27,64.3833,-173.3,23.95,84,49,6.71
80,New Norfolk,AU,2022-10-24 17:21:28,-42.7826,147.0587,53.1,88,100,2.13
81,Lebu,CL,2022-10-24 17:18:03,-37.6167,-73.65,58.14,74,83,8.99
82,Vestmannaeyjar,IS,2022-10-24 17:21:28,63.4427,-20.2734,45.59,81,75,23.02
83,Puerto Ayora,EC,2022-10-24 17:18:01,-0.7393,-90.3518,75.16,80,93,5.99
84,Longyearbyen,SJ,2022-10-24 17:21:29,78.2186,15.6401,22.84,63,75,11.5
85,Kargasok,RU,2022-10-24 17:21:29,59.0556,80.8572,32.5,68,89,16.87
86,Tari,NG,2022-10-24 17:21:30,12.4086,4.4914,91.06,28,76,8.66
87,Alpena,US,2022-10-24 17:21:30,45.0617,-83.4327,71.92,61,0,16.11
88,Vila Franca Do Campo,PT,2022-10-24 17:21:31,37.7167,-25.4333,66.2,67,25,8.88
89,Port Victoria,KE,2022-10-24 17:22:31,0.0939,33.9756,74.82,69,11,7.58
90,Shatrovo,RU,2022-10-24 17:22:32,56.5167,64.6333,36.48,62,98,16.84
91,Catuday,PH,2022-10-24 17:22:32,16.2923,119.8062,80.08,80,73,5.55
92,Kaitangata,NZ,2022-10-24 17:22:33,-46.2817,169.8464,34.7,89,4,2.01
93,Saldanha,ZA,2022-10-24 17:22:34,-33.0117,17.9442,61.66,87,94,23.42
94,Luderitz,NA,2022-10-24 17:22:34,-26.6481,15.1594,63.46,75,73,17.31
95,Sao Felix Do Xingu,BR,2022-10-24 17:22:34,-6.6447,-51.995,94.93,43,61,0.43
96,Puerto Colombia,CO,2022-10-24 17:22:35,10.9878,-74.9547,87.89,75,97,3.69
97,Faanui,PF,2022-10-24 17:22:35,-16.4833,-151.75,79.23,73,98,15.55
98,Cockburn Town,TC,2022-10-24 17:22:35,21.4612,-71.1419,81.97,70,99,5.84
99,Gornopravdinsk,RU,2022-10-24 17:22:36,60.05,69.9,35.17,67,100,13.18
100,Gillette,US,2022-10-24 17:20:09,44.2911,-105.5022,34.95,77,75,18.41
101,Sioux Lookout,CA,2022-10-24 17:22:36,50.1001,-91.917,61.56,86,100,14.81
102,Benguela,AO,2022-10-24 17:22:37,-12.5763,13.4055,77.18,81,70,10.16
103,Azul,AR,2022-10-24 17:21:59,-36.777,-59.8585,80.82,31,48,10.83
104,Grand-Santi,GF,2022-10-24 17:22:37,4.25,-54.3833,98.74,31,94,4.54
105,Nichinan,JP,2022-10-24 17:22:38,31.6,131.3667,54.03,64,14,8.75
106,Nabire,ID,2022-10-24 17:22:40,-3.3667,135.4833,76.24,91,100,3.4
